episode_id,zarr_path,fps,n_frames,lab,task,embodiment
2025-11-14-16-10-40-149000,s3://rldb/processed_v3/aria/2025-11-14-16-10-40-149000.zarr,30.0,4884.0,eth,cup_on_saucer,human_bimanual
2025-11-14-16-10-58-130000,s3://rldb/processed_v3/aria/2025-11-14-16-10-58-130000.zarr,30.0,4493.0,eth,cup_on_saucer,human_bimanual
2025-11-14-16-11-17-076000,s3://rldb/processed_v3/aria/2025-11-14-16-11-17-076000.zarr,30.0,5023.0,eth,cup_on_saucer,human_bimanual
2025-11-14-16-11-36-614000,s3://rldb/processed_v3/aria/2025-11-14-16-11-36-614000.zarr,30.0,5176.0,eth,cup_on_saucer,human_bimanual
2025-11-14-16-13-29-093000,s3://rldb/processed_v3/aria/2025-11-14-16-13-29-093000.zarr,30.0,13976.0,eth,cup_on_saucer,human_bimanual
2025-11-14-16-15-07-348000,s3://rldb/processed_v3/aria/2025-11-14-16-15-07-348000.zarr,30.0,14501.0,eth,cup_on_saucer,human_bimanual
2025-11-14-16-16-35-373000,s3://rldb/processed_v3/aria/2025-11-14-16-16-35-373000.zarr,30.0,15081.0,eth,cup_on_saucer,human_bimanual
2025-11-14-16-18-17-323000,s3://rldb/processed_v3/aria/2025-11-14-16-18-17-323000.zarr,30.0,14974.0,eth,cup_on_saucer,human_bimanual
2025-11-14-16-18-41-045000,s3://rldb/processed_v3/aria/2025-11-14-16-18-41-045000.zarr,30.0,4304.0,eth,cup_on_saucer,human_bimanual
2025-11-14-16-18-59-630000,s3://rldb/processed_v3/aria/2025-11-14-16-18-59-630000.zarr,30.0,4103.0,eth,cup_on_saucer,human_bimanual
2025-11-14-16-19-24-233000,s3://rldb/processed_v3/aria/2025-11-14-16-19-24-233000.zarr,30.0,4773.0,eth,cup_on_saucer,human_bimanual
2025-11-14-16-19-50-305000,s3://rldb/processed_v3/aria/2025-11-14-16-19-50-305000.zarr,30.0,4641.0,eth,cup_on_saucer,human_bimanual
2025-11-14-16-21-34-615000,s3://rldb/processed_v3/aria/2025-11-14-16-21-34-615000.zarr,30.0,14195.0,eth,cup_on_saucer,human_bimanual
2025-11-14-16-23-25-448000,s3://rldb/processed_v3/aria/2025-11-14-16-23-25-448000.zarr,30.0,14898.0,eth,cup_on_saucer,human_bimanual
2025-11-14-16-25-37-017000,s3://rldb/processed_v3/aria/2025-11-14-16-25-37-017000.zarr,30.0,15255.0,eth,cup_on_saucer,human_bimanual
2025-11-14-16-28-03-724000,s3://rldb/processed_v3/aria/2025-11-14-16-28-03-724000.zarr,30.0,13795.0,eth,cup_on_saucer,human_bimanual
2025-11-14-16-28-22-222000,s3://rldb/processed_v3/aria/2025-11-14-16-28-22-222000.zarr,30.0,4472.0,eth,cup_on_saucer,human_bimanual
2025-11-14-16-28-38-327000,s3://rldb/processed_v3/aria/2025-11-14-16-28-38-327000.zarr,30.0,4778.0,eth,cup_on_saucer,human_bimanual
2025-11-14-16-28-58-289000,s3://rldb/processed_v3/aria/2025-11-14-16-28-58-289000.zarr,30.0,4918.0,eth,cup_on_saucer,human_bimanual
2025-11-14-16-29-12-463000,s3://rldb/processed_v3/aria/2025-11-14-16-29-12-463000.zarr,30.0,4865.0,eth,cup_on_saucer,human_bimanual
