episode_id,zarr_path,fps,n_frames,lab,task,embodiment
2026-04-10-13-41-22-801540,s3://rldb/processed_v3/microagi/2026-04-10-13-41-22-801540.zarr,30.0,151.0,microagi,wash_cup,human_bimanual
2026-04-10-13-43-07-091538,s3://rldb/processed_v3/microagi/2026-04-10-13-43-07-091538.zarr,30.0,262.0,microagi,wash_cup,human_bimanual
2026-04-11-09-45-45-146740,s3://rldb/processed_v3/microagi/2026-04-11-09-45-45-146740.zarr,30.0,223.0,microagi,wash_a_cup,human_bimanual
2026-04-11-09-45-55-650074,s3://rldb/processed_v3/microagi/2026-04-11-09-45-55-650074.zarr,30.0,319.0,microagi,wash_a_cup,human_bimanual
2026-04-11-09-46-12-290074,s3://rldb/processed_v3/microagi/2026-04-11-09-46-12-290074.zarr,30.0,218.0,microagi,wash_a_cup,human_bimanual
2026-04-11-20-40-41-054873,s3://rldb/processed_v3/microagi/2026-04-11-20-40-41-054873.zarr,30.0,579.0,microagi,wash_and_use_cup,human_bimanual
2026-04-17-17-55-45-276909,s3://rldb/processed_v3/microagi/2026-04-17-17-55-45-276909.zarr,30.0,233.0,microagi,wash_and_dry_refrigerator_drawer,human_bimanual
2026-04-17-17-55-56-081909,s3://rldb/processed_v3/microagi/2026-04-17-17-55-56-081909.zarr,30.0,227.0,microagi,wash_and_dry_refrigerator_drawer,human_bimanual
2026-04-17-17-56-18-657122,s3://rldb/processed_v3/microagi/2026-04-17-17-56-18-657122.zarr,30.0,166.0,microagi,wash_and_dry_refrigerator_drawer,human_bimanual
2026-04-18-14-23-50-024368,s3://rldb/processed_v3/microagi/2026-04-18-14-23-50-024368.zarr,30.0,580.0,microagi,wash_cup,human_bimanual
2026-04-20-13-11-41-716035,s3://rldb/processed_v3/microagi/2026-04-20-13-11-41-716035.zarr,30.0,916.0,microagi,wash_a_cup,human_bimanual
2026-04-20-16-57-05-825136,s3://rldb/processed_v3/microagi/2026-04-20-16-57-05-825136.zarr,30.0,990.0,microagi,wash_and_organize_coffee_cups,human_bimanual
2026-04-20-16-57-41-378469,s3://rldb/processed_v3/microagi/2026-04-20-16-57-41-378469.zarr,30.0,253.0,microagi,wash_and_organize_coffee_cups,human_bimanual
2026-04-20-16-58-00-756802,s3://rldb/processed_v3/microagi/2026-04-20-16-58-00-756802.zarr,30.0,250.0,microagi,wash_and_organize_coffee_cups,human_bimanual
2026-04-20-16-58-09-961802,s3://rldb/processed_v3/microagi/2026-04-20-16-58-09-961802.zarr,30.0,881.0,microagi,wash_and_organize_coffee_cups,human_bimanual
2026-04-20-16-58-41-446802,s3://rldb/processed_v3/microagi/2026-04-20-16-58-41-446802.zarr,30.0,1100.0,microagi,wash_and_organize_coffee_cups,human_bimanual
2026-04-21-00-52-00-543388,s3://rldb/processed_v3/microagi/2026-04-21-00-52-00-543388.zarr,30.0,628.0,microagi,wash_the_cups,human_bimanual
2026-04-21-00-52-35-099264,s3://rldb/processed_v3/microagi/2026-04-21-00-52-35-099264.zarr,30.0,652.0,microagi,wash_the_cups,human_bimanual
2026-04-24-13-55-58-089983,s3://rldb/processed_v3/microagi/2026-04-24-13-55-58-089983.zarr,30.0,369.0,microagi,wash_plastic_cup,human_bimanual
2026-04-24-15-17-21-027655,s3://rldb/processed_v3/microagi/2026-04-24-15-17-21-027655.zarr,30.0,502.0,microagi,wash_plastic_cup,human_bimanual
2026-04-26-14-20-59-226943,s3://rldb/processed_v3/microagi/2026-04-26-14-20-59-226943.zarr,30.0,204.0,microagi,wash_the_cup,human_bimanual
2026-04-27-14-38-28-688593,s3://rldb/processed_v3/microagi/2026-04-27-14-38-28-688593.zarr,30.0,470.0,microagi,wash_glass_cup,human_bimanual
2026-04-27-14-41-08-924823,s3://rldb/processed_v3/microagi/2026-04-27-14-41-08-924823.zarr,30.0,439.0,microagi,wash_plastic_measuring_cup,human_bimanual
2026-04-27-14-41-39-318156,s3://rldb/processed_v3/microagi/2026-04-27-14-41-39-318156.zarr,30.0,180.0,microagi,wash_plastic_measuring_cup,human_bimanual
2026-04-27-14-41-54-931489,s3://rldb/processed_v3/microagi/2026-04-27-14-41-54-931489.zarr,30.0,269.0,microagi,wash_plastic_measuring_cup,human_bimanual
2026-04-28-07-59-11-165449,s3://rldb/processed_v3/microagi/2026-04-28-07-59-11-165449.zarr,30.0,208.0,microagi,wash_cup,human_bimanual
2026-05-01-10-24-14-354452,s3://rldb/processed_v3/microagi/2026-05-01-10-24-14-354452.zarr,30.0,159.0,microagi,wash_a_cup,human_bimanual
2026-05-01-10-24-20-589452,s3://rldb/processed_v3/microagi/2026-05-01-10-24-20-589452.zarr,30.0,220.0,microagi,wash_a_cup,human_bimanual
2026-05-01-19-21-58-428497,s3://rldb/processed_v3/microagi/2026-05-01-19-21-58-428497.zarr,30.0,1692.0,microagi,wash_the_cup,human_bimanual
2026-05-01-19-23-08-525537,s3://rldb/processed_v3/microagi/2026-05-01-19-23-08-525537.zarr,30.0,309.0,microagi,wash_the_cup,human_bimanual
2026-05-01-19-23-20-658348,s3://rldb/processed_v3/microagi/2026-05-01-19-23-20-658348.zarr,30.0,259.0,microagi,wash_the_cup,human_bimanual
2026-05-03-14-43-05-284759,s3://rldb/processed_v3/microagi/2026-05-03-14-43-05-284759.zarr,30.0,224.0,microagi,wash_green_cup,human_bimanual
2026-05-03-14-43-31-859759,s3://rldb/processed_v3/microagi/2026-05-03-14-43-31-859759.zarr,30.0,1009.0,microagi,wash_green_cup,human_bimanual
2026-05-03-14-44-11-473092,s3://rldb/processed_v3/microagi/2026-05-03-14-44-11-473092.zarr,30.0,314.0,microagi,wash_green_cup,human_bimanual
2026-05-03-14-44-22-176426,s3://rldb/processed_v3/microagi/2026-05-03-14-44-22-176426.zarr,30.0,287.0,microagi,wash_green_cup,human_bimanual
2026-05-03-14-44-52-886405,s3://rldb/processed_v3/microagi/2026-05-03-14-44-52-886405.zarr,30.0,158.0,microagi,wash_green_cup,human_bimanual
2026-05-03-14-45-07-291405,s3://rldb/processed_v3/microagi/2026-05-03-14-45-07-291405.zarr,30.0,211.0,microagi,wash_green_cup,human_bimanual
2026-05-03-20-25-08-342706,s3://rldb/processed_v3/microagi/2026-05-03-20-25-08-342706.zarr,30.0,191.0,microagi,wash_cup,human_bimanual
2026-05-05-09-31-58-237548,s3://rldb/processed_v3/microagi/2026-05-05-09-31-58-237548.zarr,30.0,238.0,microagi,wash_coffee_cup,human_bimanual
2026-05-05-09-32-12-965873,s3://rldb/processed_v3/microagi/2026-05-05-09-32-12-965873.zarr,30.0,221.0,microagi,wash_coffee_cup,human_bimanual
2026-05-06-20-17-11-668784,s3://rldb/processed_v3/microagi/2026-05-06-20-17-11-668784.zarr,30.0,740.0,microagi,wash_measuring_cups,human_bimanual
2026-05-09-12-45-43-327825,s3://rldb/processed_v3/microagi/2026-05-09-12-45-43-327825.zarr,30.0,152.0,microagi,wash_the_cups,human_bimanual
2026-05-09-12-45-48-694492,s3://rldb/processed_v3/microagi/2026-05-09-12-45-48-694492.zarr,30.0,619.0,microagi,wash_the_cups,human_bimanual
2026-05-11-15-20-34-091860,s3://rldb/processed_v3/microagi/2026-05-11-15-20-34-091860.zarr,30.0,225.0,microagi,wash_coffee_cups,human_bimanual
2026-05-12-07-30-17-205421,s3://rldb/processed_v3/microagi/2026-05-12-07-30-17-205421.zarr,30.0,407.0,microagi,wash_white_cup,human_bimanual
2026-05-12-07-30-32-447331,s3://rldb/processed_v3/microagi/2026-05-12-07-30-32-447331.zarr,30.0,203.0,microagi,wash_white_cup,human_bimanual
2026-05-14-09-49-46-551256,s3://rldb/processed_v3/microagi/2026-05-14-09-49-46-551256.zarr,30.0,368.0,microagi,wash_the_cup,human_bimanual
2026-05-14-09-50-18-231256,s3://rldb/processed_v3/microagi/2026-05-14-09-50-18-231256.zarr,30.0,210.0,microagi,wash_the_cup,human_bimanual
2026-05-14-12-24-41-375630,s3://rldb/processed_v3/microagi/2026-05-14-12-24-41-375630.zarr,30.0,550.0,microagi,wash_cups_and_glasses,human_bimanual
2026-05-16-20-55-49-907009,s3://rldb/processed_v3/microagi/2026-05-16-20-55-49-907009.zarr,30.0,420.0,microagi,wash_metal_cups_and_lids,human_bimanual
2026-05-19-08-13-51-569152,s3://rldb/processed_v3/microagi/2026-05-19-08-13-51-569152.zarr,30.0,179.0,microagi,wash_glass_cups,human_bimanual
2026-05-19-08-14-19-752485,s3://rldb/processed_v3/microagi/2026-05-19-08-14-19-752485.zarr,30.0,165.0,microagi,wash_glass_cups,human_bimanual
2026-05-19-08-14-35-861548,s3://rldb/processed_v3/microagi/2026-05-19-08-14-35-861548.zarr,30.0,181.0,microagi,wash_glass_cups,human_bimanual
2026-05-19-08-16-32-127571,s3://rldb/processed_v3/microagi/2026-05-19-08-16-32-127571.zarr,30.0,173.0,microagi,wash_glass_cups,human_bimanual
2026-05-19-08-17-23-224238,s3://rldb/processed_v3/microagi/2026-05-19-08-17-23-224238.zarr,30.0,172.0,microagi,wash_glass_cups,human_bimanual
2026-05-19-08-17-37-732571,s3://rldb/processed_v3/microagi/2026-05-19-08-17-37-732571.zarr,30.0,164.0,microagi,wash_glass_cups,human_bimanual
2026-05-20-08-36-07-191695,s3://rldb/processed_v3/microagi/2026-05-20-08-36-07-191695.zarr,30.0,173.0,microagi,wash_paper_cup,human_bimanual
2026-05-20-22-56-07-392093,s3://rldb/processed_v3/microagi/2026-05-20-22-56-07-392093.zarr,30.0,291.0,microagi,wash_cups,human_bimanual
2026-05-20-22-56-28-524738,s3://rldb/processed_v3/microagi/2026-05-20-22-56-28-524738.zarr,30.0,271.0,microagi,wash_cups,human_bimanual
2026-05-21-05-44-26-513421,s3://rldb/processed_v3/microagi/2026-05-21-05-44-26-513421.zarr,30.0,946.0,microagi,wash_bottles_and_cups,human_bimanual
2026-05-21-05-44-58-228959,s3://rldb/processed_v3/microagi/2026-05-21-05-44-58-228959.zarr,30.0,1022.0,microagi,wash_bottles_and_cups,human_bimanual
2026-05-24-19-12-41-517344,s3://rldb/processed_v3/microagi/2026-05-24-19-12-41-517344.zarr,30.0,165.0,microagi,wash_and_dry_cup,human_bimanual
2026-05-24-19-13-38-372344,s3://rldb/processed_v3/microagi/2026-05-24-19-13-38-372344.zarr,30.0,442.0,microagi,wash_and_dry_cup,human_bimanual
2026-05-29-18-18-51-827904,s3://rldb/processed_v3/microagi/2026-05-29-18-18-51-827904.zarr,30.0,157.0,microagi,wash_yellow_cup,human_bimanual
2026-05-29-18-18-58-064571,s3://rldb/processed_v3/microagi/2026-05-29-18-18-58-064571.zarr,30.0,201.0,microagi,wash_yellow_cup,human_bimanual
2026-05-29-18-19-16-407904,s3://rldb/processed_v3/microagi/2026-05-29-18-19-16-407904.zarr,30.0,205.0,microagi,wash_yellow_cup,human_bimanual
2026-05-30-12-50-08-043047,s3://rldb/processed_v3/microagi/2026-05-30-12-50-08-043047.zarr,30.0,1065.0,microagi,wash_coffee_cups,human_bimanual
2026-05-30-12-51-03-108047,s3://rldb/processed_v3/microagi/2026-05-30-12-51-03-108047.zarr,30.0,229.0,microagi,wash_coffee_cups,human_bimanual
